Vl (V),Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
1.48,0.464656439,0.467087339,0.467093275,0.467100536,0.467128717,0.467195166,0.467288561,0.46735982,0.467337976,0.46715052,0.46673599,0.466048176,0.465055353,0.463737602,0.462083927,0.460089865,0.457755704,0.455085222,0.452084803,0.44876279
1.52,0.486134819,0.489110309,0.489116336,0.489120855,0.489140857,0.489188976,0.489253727,0.4892901,0.489232526,0.489013095,0.488573439,0.487869041,0.486868812,0.485552759,0.483909366,0.48193338,0.479624163,0.476984513,0.474019836,0.470737548
1.56,0.504622631,0.507500792,0.507507067,0.507509909,0.507524635,0.507561122,0.507608475,0.507625205,0.507550049,0.50731873,0.506875397,0.506177038,0.505193306,0.503904392,0.502298557,0.500370026,0.498117409,0.495542595,0.492649977,0.489445907
1.6,0.521800142,0.523923169,0.523930894,0.523932621,0.52394336,0.523970465,0.524002646,0.524000193,0.523904377,0.523653241,0.52319282,0.522481645,0.521490694,0.5202013,0.518602666,0.516689721,0.514461507,0.511920063,0.509069664,0.505916309
1.64,0.543762188,0.544646666,0.544654797,0.544655854,0.544663327,0.544682141,0.544700431,0.544680135,0.544564997,0.54429524,0.543818452,0.543094195,0.542094131,0.540800077,0.539201577,0.537293775,0.535075809,0.532549688,0.529719547,0.526591141
1.68,0.567545472,0.567245167,0.567251029,0.567251617,0.56725668,0.567269278,0.567277586,0.567245872,0.567121026,0.566845921,0.566369849,0.565653215,0.564667912,0.563395597,0.561825418,0.559951974,0.557773763,0.555292101,0.552510403,0.549433702
1.72,0.588622182,0.587658465,0.587660882,0.58766123,0.587664792,0.587673449,0.587675751,0.587638312,0.587511165,0.587239946,0.586775841,0.586080295,0.585125596,0.583893337,0.582372277,0.5805564,0.578443418,0.576033741,0.5733298,0.57033561
1.76,0.607526555,0.606632368,0.606635523,0.606635856,0.606638313,0.606643798,0.606640678,0.606596618,0.606463208,0.606187464,0.605721574,0.605027712,0.604078756,0.602856833,0.601351194,0.599556234,0.597469962,0.595092935,0.592427568,0.589477703
1.8,0.625803172,0.624970226,0.624970266,0.624970414,0.624972105,0.62497528,0.624967982,0.624918295,0.624778342,0.624495378,0.624021566,0.623319024,0.622360732,0.621129152,0.619614076,0.617810569,0.615717346,0.613335638,0.610668443,0.607720063
1.84,0.646450903,0.645411658,0.645408076,0.64540813,0.64540924,0.645410764,0.645401014,0.645349416,0.645209726,0.644930379,0.644464082,0.643773025,0.642830037,0.641617379,0.64012467,0.638346835,0.636282473,0.633932682,0.6313003,0.628389429
1.88,0.668309559,0.667296349,0.667296475,0.66729664,0.667297332,0.667297637,0.667286344,0.667234446,0.667097617,0.666825779,0.666372439,0.665700027,0.6647813,0.663598328,0.662140517,0.660402593,0.658382945,0.656082436,0.653503617,0.650650244
1.92,0.687899201,0.687060962,0.687055443,0.687055264,0.687055622,0.6870551,0.68704286,0.68699117,0.686857277,0.686592351,0.686150618,0.685494816,0.684597808,0.683441729,0.682016073,0.680315683,0.678339054,0.676087105,0.673562354,0.670768419
1.96,0.706592049,0.706612432,0.706611604,0.70661171,0.70661193,0.70661092,0.706598272,0.706547335,0.706416513,0.706157665,0.705725126,0.705081372,0.7041989,0.70305956,0.70165273,0.699973293,0.698019901,0.695793678,0.693297349,0.690534693
2,0.723882358,0.725011856,0.725014341,0.725014302,0.725014408,0.725013245,0.725001049,0.72495261,0.724827933,0.724579972,0.724163417,0.723540511,0.722683205,0.721572714,0.720197834,0.718552966,0.716636376,0.714448879,0.711992934,0.709272082
2.04,0.742874057,0.744789486,0.744790828,0.744790896,0.744790948,0.744789641,0.744777866,0.74473182,0.744613118,0.744375874,0.74397525,0.743373385,0.742541812,0.741461252,0.740120062,0.738512309,0.736636025,0.734491853,0.732082104,0.729410159
2.08,0.764787269,0.766954936,0.76696278,0.766962843,0.766962789,0.766961357,0.766949984,0.766906109,0.766792719,0.766564802,0.766177677,0.765593096,0.764781961,0.763724375,0.762408244,0.760827398,0.758979817,0.756866227,0.754489093,0.75185196
2.12,0.786391785,0.787826022,0.787825621,0.787825444,0.787825348,0.787823885,0.787812959,0.787770956,0.787661798,0.787440881,0.787063296,0.786490135,0.785691527,0.784646946,0.783343944,0.781776294,0.779942181,0.777842713,0.775480829,0.772860573
2.16,0.807356884,0.807706,0.807715255,0.80771548,0.807715366,0.807713977,0.807703836,0.807664588,0.807561572,0.807351143,0.806988628,0.806434739,0.80565889,0.804639774,0.80336428,0.801825717,0.800022005,0.79795415,0.795625099,0.793038967
2.2,0.825758069,0.824622148,0.824617368,0.824616952,0.824616899,0.82461563,0.824606312,0.824570062,0.824474185,0.824276886,0.823934767,0.823409133,0.82266943,0.821694028,0.820469306,0.818987998,0.817247443,0.815248078,0.812992296,0.810483658
2.24,0.84547587,0.843503715,0.843511995,0.843512365,0.843512207,0.843510995,0.843502377,0.843468624,0.84337855,0.84319165,0.842865243,0.842360753,0.841647324,0.840702824,0.839513118,0.838070503,0.836372001,0.834417835,0.832210256,0.82975272
2.28,0.86895441,0.866355722,0.86633564,0.866334599,0.866334502,0.866333397,0.866325563,0.866294515,0.866210509,0.866034061,0.865722744,0.865237516,0.864546604,0.863626827,0.862463089,0.861046964,0.859375014,0.85744725,0.855265909,0.852834566
2.32,0.890856431,0.888582328,0.888596249,0.888597083,0.888597011,0.888596067,0.888589069,0.888560721,0.888482705,0.888316531,0.888019956,0.88755334,0.886883813,0.885986926,0.884846411,0.883452923,0.881802407,0.879894562,0.877731555,0.875317078
2.36,0.910529264,0.908631213,0.908610489,0.90860984,0.908609702,0.908608782,0.908602461,0.908576654,0.908504693,0.908349597,0.908070017,0.907626464,0.90698561,0.906122191,0.905019008,0.90366583,0.902057861,0.900194222,0.898076667,0.895708607
2.4,0.925514599,0.924673917,0.92466059,0.924659313,0.924659124,0.924658337,0.924652518,0.924628391,0.924560491,0.924413067,0.924145712,0.923719468,0.923101172,0.922265493,0.921195068,0.919879499,0.918313868,0.916497224,0.914431287,0.912119437
2.44,0.942185437,0.942986146,0.943022426,0.943026164,0.943026531,0.94302589,0.943020611,0.942998327,0.942934752,0.942795194,0.942539853,0.942129835,0.941531626,0.940719324,0.93967497,0.938387674,0.936852192,0.935067421,0.93303507,0.930758615
2.48,0.964175124,0.965971696,0.965936249,0.965931585,0.965930877,0.965930141,0.965925478,0.965905579,0.965847802,0.965719046,0.965480501,0.965093456,0.96452387,0.963744855,0.962737279,0.961489102,0.959994088,0.958250354,0.956259056,0.954023312
2.52,0.985483101,0.988462832,0.988505911,0.988510788,0.988511403,0.988511016,0.988507028,0.988489365,0.988437098,0.988318872,0.988097126,0.987733626,0.987194054,0.986450703,0.985483329,0.984278704,0.982829479,0.981132823,0.979189125,0.977000924
