Vl (V),Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
0.76,0.020219242107076534,0.021255598508572907,0.022926574265844026,0.024781506345123383,0.026488041003193713,0.027697993888477938,0.028333672972047034,0.028513754664138146,0.028380619679348476,0.028037932733357196,0.027550515142054165,0.026956558961363467,0.026277908882316455,0.025526884132697394,0.024710518558943764,0.023833118356724754,0.02289775618321436,0.021907100346368377,0.0208638350945064,0.01977083681611872
0.8,0.023712211568797575,0.024677771492974027,0.026232834587404483,0.02799847328952583,0.029666365391568104,0.03089583060914402,0.031581712243906976,0.031816481623990964,0.03173201050061127,0.031430611126625804,0.03097884056276192,0.03041711991661826,0.02976914410778012,0.029048473925790692,0.028262779581338063,0.027416490546551812,0.026512412595153717,0.025552682740417908,0.02453930312319986,0.023474411252589953
0.84,0.02721089952878092,0.028131368577280456,0.029580177739569995,0.03125997426651179,0.032884414696386144,0.034122954618243856,0.03484932711403413,0.03513208728795738,0.035091940717822206,0.034828786335489956,0.03441018126365962,0.033878386726394136,0.03325882357860723,0.032566361986150746,0.03180950770974697,0.030993089248647715,0.03011994821631215,0.029191977911840906,0.02821073864278515,0.02717780102663491
0.88,0.03071843785216171,0.031610138353309836,0.032961426659826154,0.03455926701217082,0.03613737652262197,0.037376824737705434,0.03813538730755246,0.03846010677467264,0.038460277178013244,0.038232556186131916,0.037844846549040925,0.03734085124979717,0.036747522599629476,0.0360809949682689,0.03535067152847867,0.03456191549806449,0.03371778644641259,0.03282013904710536,0.03187029957559526,0.03086946517730043
0.92,0.03424067205195147,0.03510944805937683,0.036371069844668154,0.03789097021260629,0.03942119634665167,0.04065515768441716,0.04143881543062679,0.04180006837893139,0.04183685520445742,0.041641966865731336,0.04128308728792435,0.04080498714363234,0.040235941422340646,0.039593263789484696,0.03888725894945379,0.03812389063213001,0.03730654268330595,0.03643716177375962,0.035516982493093076,0.034546972541947
0.96,0.03778578579656585,0.038625770371535285,0.03980478637813974,0.041250726660938895,0.04273243592973405,0.04395590386579512,0.04475859110650544,0.04515150062116971,0.04522148633127995,0.045057017547087824,0.0447250799455909,0.04427116905733726,0.04372467403751733,0.04310398462926561,0.04242028142438983,0.04168015765831085,0.04088738702259377,0.04004409678799385,0.03915153171629272,0.03821053813545171
1.0,0.04136114234155204,0.04215635916759236,0.04325912819347959,0.04463496285992734,0.04606816082657976,0.047277223325135495,0.04809375252650063,0.04851393768333589,0.04861396589378658,0.048477671476901615,0.04817094037122664,0.04773968359599848,0.0472142030670467,0.046613852785938034,0.04595064562333698,0.04523180977143239,0.044461547341251004,0.04364222561719533,0.042775171121303204,0.041861186955774614
1.04,0.04496844752364592,0.04569903681110378,0.04673130132086845,0.04804071429720219,0.04942585090232089,0.05061746300729025,0.05144339620268606,0.05188692332129792,0.052014078875679784,0.05190386501838597,0.051620736561674145,0.051210744124301,0.05070491177049537,0.050123443025618025,0.0494791285863415,0.04877982200423725,0.04803017518046465,0.047232836209014674,0.04638926490373542,0.04550027761023471
1.08,0.048601298072944894,0.049252049936251235,0.050219011425728925,0.05146549627277612,0.05280332888475398,0.05397513588518944,0.05480667551682428,0.05527001360624874,0.055421604358827065,0.055335514810597605,0.05507449950853162,0.05468450513257441,0.05419710004459665,0.05363322301681195,0.053006381281470824,0.05232503364343977,0.05159429139570306,0.05081711243261873,0.049995129755344134,0.04912921746828916
1.12,0.0522478767271395,0.052813968758145036,0.05372035228853615,0.05490720689693559,0.056198703028479374,0.05734890213411704,0.058182798491445406,0.05866277876541024,0.058836318856041625,0.05877252327106518,0.0585322318689168,0.0581610744579313,0.05769099965501792,0.05714356995939199,0.056532943652593606,0.05586815671785748,0.055154780116082824,0.05439610145165373,0.053593958765623076,0.05274932153806837
1.16,0.055896538386860165,0.056383614846434754,0.057233723693097975,0.05836405319880762,0.059610320843427114,0.06073755234783416,0.061571025092916606,0.06206480434403328,0.06225799878995905,0.06221478278567129,0.06199391475219981,0.061640523197720634,0.061186787189425496,0.0606547858668834,0.06005926096630722,0.059409791554723014,0.05871240075514052,0.057970717847101845,0.05718681065788058,0.05636177583489753
1.2,0.059539736730445623,0.0599600079833377,0.06075776990466797,0.06183449409900901,0.06303673153005876,0.0641399926856141,0.06497066428582021,0.06547569186006094,0.06568642232585553,0.0656621788888956,0.06545951299758403,0.0651228936473831,0.06468459475893742,0.06416711064372362,0.06358569849071577,0.06295044204536722,0.06226780270678762,0.06154175642388591,0.06077461903612223,0.05996764067146659
1.24,0.06317445224706981,0.06354232612315906,0.06429133285007324,0.06531719586671314,0.06647665529813257,0.06755523178879587,0.0683810709910933,0.06889505908194479,0.06912137071618775,0.06911459267302411,0.06892897926359076,0.06860820562233583,0.06818451876736398,0.06768073310882876,0.06711255423029475,0.06649052932138574,0.06582153909199684,0.06510990513872528,0.06435820359849886,0.06356785919220832
1.28,0.06680057624693272,0.0671298745707396,0.06783341598269922,0.06881099694250009,0.0699289581566096,0.0709823692872926,0.07180164305184566,0.0723225400287644,0.07256262927582255,0.0725719026102501,0.07240225718792925,0.07209646147171128,0.07168662705871959,0.07119580022587972,0.07064006987574145,0.07003040383704214,0.06937407927392494,0.06867575732828891,0.06793828138660421,0.06716326696898128
1.32,0.07041927728381274,0.07072206182969254,0.07138315603750167,0.07231487987415114,0.0733926310766346,0.07442058571660941,0.07523181827583089,0.07575778476795636,0.07600998807756074,0.07603398592855795,0.07587928382341941,0.07558765004014589,0.07519096471565498,0.07471242478773453,0.07416844015173865,0.0735703559425108,0.07292582009314838,0.07223982300737897,0.07151547757841659,0.07075460177962814
1.36,0.07403223745202815,0.07431838043082392,0.07493980069696549,0.07582794871610549,0.07686677267010476,0.07786913367579788,0.07867107159857231,0.07920045906783647,0.07946324243545633,0.07950071964881629,0.07935999151235804,0.07908174978850643,0.07869755874416848,0.07823069178214587,0.07769782074960399,0.07711062506856592,0.07647709585540613,0.07580253915421822,0.07509033557727274,0.07434251306466731
1.4000000000000001,0.07764167403541428,0.07791839160600122,0.07850269074387699,0.07934941067007614,0.08035057471082951,0.08132733007130039,0.08211891239344446,0.08265024394831563,0.08292219322684578,0.08297198136468395,0.08284430932670464,0.08257873124549248,0.08220642184481072,0.08175066364196977,0.08122833502432711,0.08065140765661531,0.08002818714529861,0.07936427898538342,0.07866332631380113,0.07792757085894939
1.44,0.08125064146940958,0.08152171302569194,0.08207124566095826,0.08287856105014511,0.08384330996724616,0.08479454930783493,0.08557488194259111,0.08610683516271864,0.08638664709158028,0.08644764982714813,0.08633216417343438,0.0860785589291887,0.0857175554387935,0.08527238455839747,0.08476007962248622,0.08419286396897323,0.0835793285557753,0.08292536025853262,0.08223485674521136,0.0815102741255608
1.48,0.08486291536770374,0.08512800903573406,0.08564495190766411,0.08641477087754351,0.0873443219253654,0.08827021730365206,0.08903855107396763,0.08956994263561689,0.08985641653766038,0.0899276053804384,0.0898234816421777,0.0895811928503,0.089230952089352,0.08879588401200594,0.08829312919222221,0.08773512390959104,0.08713071542954502,0.08648605265773793,0.08580527756400386,0.08509105846422008
1.52,0.08848196335549535,0.0887369829563536,0.08922335329737249,0.08995747657319308,0.09085301606581124,0.09175380622276376,0.09250951796395179,0.09303928987547529,0.09333131997551139,0.09341173028462998,0.09331818665476775,0.09308658968630917,0.09274659743440339,0.09232117965438803,0.09182754031036026,0.09127829197767892,0.09068250970974161,0.09004658432563789,0.0893748901441003,0.08867030318715946
1.56,0.09210940752747174,0.09234837107734019,0.09280604303781431,0.0935061713369473,0.09436885242531362,0.0952448298306722,0.09598740610110351,0.09651461337623612,0.09681118169792066,0.09689990895161277,0.09681620396263113,0.09659470369746764,0.09626447172579654,0.09584827965317666,0.0953633547458313,0.09482245146706392,0.09423484499500609,0.093607147611661,0.09294395276347545,0.09224833777095628
