Vl (V),Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
1.52,0.0885913441456051,0.08859134414560507,0.08859134414560511,0.08859134414560507,0.08859134414560507,0.08859134414560506,0.08859134414560507,0.0885913441456051,0.08859134414560507,0.08859134414560509,0.08859134414560509,0.0885913441456051,0.0885913441456051,0.0885913441456051,0.08859134414560507,0.0885913441456051,0.08859134414560507,0.08859134414560509,0.0885913441456051,0.08859134414560507
1.56,0.09221292244967635,0.0922129224496764,0.09221292244967635,0.09221292244967634,0.09221292244967637,0.09221292244967637,0.09221292244967638,0.09221292244967634,0.09221292244967637,0.09221292244967634,0.09221292244967635,0.09221292244967638,0.09221292244967634,0.09221292244967635,0.09221292244967635,0.09221292244967637,0.09221292244967635,0.09221292244967635,0.09221292244967638,0.09221292244967637
1.6,0.09583615252126312,0.09583615252126311,0.09583615252126315,0.09583615252126314,0.09583615252126314,0.0958361525212631,0.09583615252126314,0.09583615252126312,0.09583615252126315,0.09583615252126312,0.09583615252126312,0.09583615252126312,0.09583615252126311,0.09583615252126312,0.09583615252126312,0.09583615252126315,0.09583615252126312,0.09583615252126314,0.09583615252126312,0.09583615252126312
1.6400000000000001,0.09946085905262143,0.09946085905262143,0.09946085905262142,0.09946085905262142,0.09946085905262143,0.09946085905262143,0.0994608590526214,0.09946085905262142,0.09946085905262142,0.09946085905262142,0.09946085905262143,0.09946085905262145,0.09946085905262142,0.09946085905262142,0.09946085905262138,0.0994608590526214,0.09946085905262142,0.09946085905262138,0.09946085905262138,0.09946085905262142
1.68,0.10308684474822344,0.1030868447482234,0.10308684474822338,0.10308684474822341,0.10308684474822342,0.10308684474822341,0.10308684474822341,0.10308684474822341,0.10308684474822341,0.10308684474822338,0.10308684474822338,0.10308684474822342,0.10308684474822338,0.10308684474822342,0.10308684474822341,0.10308684474822341,0.10308684474822344,0.1030868447482234,0.1030868447482234,0.10308684474822341
1.72,0.1067139065024241,0.1067139065024241,0.10671390650242409,0.10671390650242407,0.1067139065024241,0.10671390650242413,0.10671390650242407,0.10671390650242411,0.10671390650242413,0.10671390650242413,0.1067139065024241,0.10671390650242413,0.1067139065024241,0.1067139065024241,0.10671390650242409,0.10671390650242407,0.1067139065024241,0.1067139065024241,0.10671390650242413,0.10671390650242411
1.76,0.11034185284072154,0.11034185284072157,0.11034185284072152,0.11034185284072157,0.11034185284072158,0.11034185284072154,0.11034185284072154,0.11034185284072154,0.11034185284072158,0.11034185284072157,0.11034185284072158,0.11034185284072157,0.11034185284072154,0.11034185284072155,0.11034185284072154,0.11034185284072155,0.11034185284072157,0.11034185284072157,0.11034185284072155,0.11034185284072152
1.8,0.11397051904012187,0.11397051904012187,0.11397051904012183,0.11397051904012186,0.11397051904012184,0.11397051904012187,0.1139705190401219,0.11397051904012184,0.11397051904012186,0.11397051904012184,0.11397051904012187,0.11397051904012186,0.11397051904012188,0.1139705190401219,0.11397051904012188,0.11397051904012187,0.11397051904012186,0.11397051904012188,0.11397051904012187,0.1139705190401219
1.84,0.11759977725112798,0.11759977725112798,0.11759977725112798,0.11759977725112798,0.11759977725112798,0.11759977725112802,0.117599777251128,0.117599777251128,0.11759977725112798,0.11759977725112798,0.11759977725112797,0.11759977725112797,0.11759977725112798,0.117599777251128,0.11759977725112798,0.11759977725112798,0.11759977725112794,0.11759977725112797,0.11759977725112798,0.11759977725112798
1.8800000000000001,0.12122954022591184,0.12122954022591187,0.1212295402259119,0.12122954022591187,0.1212295402259119,0.12122954022591184,0.12122954022591187,0.12122954022591187,0.12122954022591184,0.12122954022591187,0.12122954022591184,0.12122954022591187,0.12122954022591186,0.12122954022591188,0.12122954022591186,0.12122954022591187,0.12122954022591184,0.12122954022591187,0.1212295402259119,0.12122954022591184
1.92,0.12485975863421474,0.12485975863421472,0.12485975863421471,0.12485975863421475,0.12485975863421477,0.12485975863421472,0.12485975863421472,0.12485975863421477,0.12485975863421474,0.12485975863421475,0.12485975863421472,0.12485975863421474,0.12485975863421471,0.12485975863421471,0.12485975863421472,0.12485975863421472,0.12485975863421472,0.12485975863421475,0.12485975863421475,0.12485975863421472
1.96,0.1284904131538617,0.12849041315386173,0.12849041315386173,0.12849041315386173,0.12849041315386173,0.12849041315386173,0.1284904131538617,0.12849041315386173,0.12849041315386173,0.12849041315386173,0.12849041315386167,0.12849041315386167,0.12849041315386173,0.12849041315386178,0.12849041315386173,0.12849041315386173,0.12849041315386173,0.12849041315386173,0.12849041315386173,0.12849041315386167
2.0,0.1321215033537592,0.13212150335375922,0.13212150335375916,0.13212150335375916,0.13212150335375922,0.13212150335375916,0.13212150335375916,0.13212150335375925,0.13212150335375922,0.1321215033537592,0.13212150335375922,0.1321215033537592,0.13212150335375916,0.13212150335375922,0.13212150335375916,0.13212150335375916,0.13212150335375922,0.13212150335375922,0.13212150335375922,0.13212150335375922
2.04,0.1357530357357034,0.1357530357357034,0.1357530357357034,0.1357530357357034,0.1357530357357034,0.1357530357357034,0.1357530357357034,0.13575303573570344,0.13575303573570346,0.13575303573570338,0.13575303573570335,0.1357530357357034,0.1357530357357034,0.13575303573570335,0.1357530357357034,0.13575303573570335,0.1357530357357034,0.1357530357357034,0.13575303573570335,0.1357530357357034
2.08,0.1393850131619654,0.13938501316196542,0.13938501316196542,0.1393850131619654,0.13938501316196542,0.1393850131619654,0.1393850131619654,0.1393850131619654,0.1393850131619654,0.1393850131619654,0.1393850131619654,0.1393850131619654,0.13938501316196542,0.13938501316196542,0.1393850131619654,0.1393850131619654,0.13938501316196542,0.1393850131619654,0.13938501316196542,0.1393850131619654
2.12,0.1430174273543437,0.1430174273543437,0.14301742735434378,0.1430174273543437,0.14301742735434375,0.1430174273543437,0.14301742735434372,0.1430174273543437,0.1430174273543437,0.1430174273543437,0.1430174273543437,0.1430174273543437,0.14301742735434367,0.14301742735434375,0.14301742735434372,0.1430174273543437,0.1430174273543437,0.1430174273543437,0.1430174273543437,0.1430174273543437
2.16,0.14665025535786985,0.1466502553578699,0.1466502553578699,0.1466502553578699,0.14665025535786985,0.14665025535786985,0.1466502553578699,0.14665025535786982,0.1466502553578699,0.14665025535786985,0.14665025535786985,0.14665025535786988,0.14665025535786985,0.1466502553578699,0.1466502553578699,0.14665025535786988,0.14665025535786988,0.14665025535786982,0.14665025535786985,0.14665025535786985
