Vl (V),Grad_-19_I,Grad_-18_I,Grad_-17_I,Grad_-16_I,Grad_-15_I,Grad_-14_I,Grad_-13_I,Grad_-12_I,Grad_-11_I,Grad_-10_I,Grad_-9_I,Grad_-8_I,Grad_-7_I,Grad_-6_I,Grad_-5_I,Grad_-4_I,Grad_-3_I,Grad_-2_I,Grad_-1_I,Grad_0_I,Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
0.2,0.0296309337091396,0.028155518488967354,0.026678696409425207,0.025200142569583438,0.023719447184219773,0.022236080911923778,0.020749339169785767,0.01925824993126744,0.017761416190908402,0.016256737107912707,0.014740892707866077,0.01320833849305708,0.01164920501112715,0.010044535394198917,0.008354534665516186,0.006488669498714578,0.0042573377502206295,0.0016693438684550403,0.0001036017037666954,1.4686519102882782e-43,1.4686519102882782e-43,7.178855928485282e-13,-1.0427794950559827e-07,-1.5779557893544946e-05,-0.0001787332351144926,-0.0007024112975489502,-0.0016992986735519726,-0.0032172747043582185,-0.005295667810286408,-0.007961907913573617,-0.011220841539673412,-0.01505498068205778,-0.01943104470157247,-0.024307131483404885,-0.029638213886448956,-0.035379688431117204,-0.04148939265101457,-0.047928589303480096,-0.0546623124179481,-0.06165934606211955
0.22,0.030830741231606975,0.02935358586048515,0.027874887059220553,0.026394294119090077,0.02491135269900985,0.023425458850848915,0.021935785602978895,0.02044116226147209,0.01893986928281432,0.017429275590029124,0.015905165541277157,0.014360413761141876,0.012782183528733608,0.011145503314190505,0.009397340243223062,0.007416738699422598,0.004959079781417983,0.002047451861466322,0.00017001275814180098,2.1623373501906496e-40,2.1623373501906496e-40,2.9513715630975622e-08,8.621621092723462e-08,-8.984668102245558e-06,-0.0001253295078987229,-0.0005526791235735747,-0.0014222839771707307,-0.0027825999240292903,-0.004666576102449461,-0.007102681247025513,-0.010103910549316251,-0.013663293771907427,-0.01775718495542539,-0.02235120739229048,-0.027405669327613638,-0.03287947108042342,-0.0387325666203672,-0.04492734198144942,-0.051429270581917534,-0.05820712031211529
0.24,0.032051454901678905,0.030574079610432126,0.029095136486195744,0.02761425297052314,0.026130934800768488,0.02464450949046615,0.023154036082102307,0.021658156618715993,0.020154842850197252,0.018640945543786116,0.017111350688256713,0.015557301057074917,0.013962813385989592,0.012296411291071285,0.010490675523989856,0.008392566343892576,0.005707685851222093,0.002487576590578574,0.00027023357268651224,1.6190967236000394e-32,1.6190967236000394e-32,5.2644091137797924e-08,1.1795472730510715e-05,4.116465747127499e-05,-1.563627395222819e-05,-0.0003375525213423761,-0.0010643039553986408,-0.002250798825156997,-0.003926491332638499,-0.00611980400947762,-0.00885032695761725,-0.012120902883635768,-0.015917517010370454,-0.02021362581694325,-0.024975243798812344,-0.030165101916162236,-0.03574552304306043,-0.041680196595777645,-0.0479351556185373,-0.054479226084974526
0.26,0.03329394403248612,0.03181766286612995,0.030339879873501986,0.028860205757584256,0.02737811258353298,0.025892867094154448,0.024403423759952955,0.022908247748845128,0.021405010832624742,0.01989004571244292,0.0183573152238556,0.016796344836163015,0.015187781776114177,0.013493130268058238,0.011629585833716635,0.009411451198809253,0.00650333496567358,0.0029958270936320287,0.0004111746115987625,7.025869443622446e-25,7.025869443622446e-25,7.424929978174304e-08,1.4492689907364832e-05,7.974877182316329e-05,0.0001306163345498356,2.1643333492561524e-06,-0.00043973496578809696,-0.0012424550751927795,-0.002429233926050763,-0.00403790140314582,-0.006113777969078959,-0.008691907074569972,-0.011787528752200217,-0.01539599739859176,-0.019497504281950004,-0.024062712231637765,-0.02905746496323395,-0.034446121052274424,-0.04019366968002093,-0.046266945908924426
0.28,0.034558434262300965,0.03308439879762258,0.031609003757280166,0.03013184850633236,0.028652377696365784,0.02716980429283742,0.025682985261987416,0.024190214229821427,0.02268886245929114,0.02117472947821923,0.01964080753933635,0.018074789476783613,0.016453700513276045,0.01473152094517306,0.012809293947336403,0.010469297037667262,0.007346566556463345,0.003577344486931124,0.0006042816057643123,1.2070613430967019e-21,1.2070613430967019e-21,2.3739662388763142e-06,4.943753620286354e-05,0.00012182041136934725,0.00019717575488847398,0.00014341724698968008,-0.00016897391352604867,-0.0007810446494692007,-0.0016897082029135786,-0.002904554135655484,-0.004459806086723386,-0.00640123978756979,-0.008770189676615726,-0.01159384659364177,-0.014882566243396345,-0.018631696018985164,-0.022825289274838022,-0.027439999005906403,-0.03244835292445817,-0.037821191704696375
0.3,0.03584477129923428,0.034374004159744585,0.03290208520820929,0.031428607141010215,0.02995299203497242,0.028474403492576378,0.026991603659024845,0.02550271293308072,0.024004790920058805,0.022493073720378134,0.02095951554977872,0.019389838439921946,0.017757178789222845,0.016007530690032738,0.014025314105485359,0.011562627991632327,0.008237909675209897,0.0042361330242395795,0.0008722127751300366,6.400264002963977e-21,6.400264002963977e-21,2.7932297534885356e-06,0.00011129720853876354,0.0003774445584653241,0.0006192055174299354,0.0006921942940877591,0.0005008576723545135,1.6776237674758214e-05,-0.0007396960373883013,-0.0017483944193963379,-0.003014307940977607,-0.00456653287980833,-0.0064459166233340635,-0.008692285306738755,-0.01133604004474054,-0.014394691120458531,-0.017872989738127763,-0.021764993707464753,-0.026056792526647773,-0.030729140869398756
0.32,0.03715258229648016,0.03568600050719308,0.03421853055149074,0.032749761586853283,0.03127909557850661,0.029805647590588277,0.028328082352518255,0.02684433783136263,0.0253511405042108,0.023843119311079384,0.02231110686557707,0.020738701121475495,0.019094883311220848,0.0173172695898168,0.01527352517431816,0.01268854097847153,0.009177606203725666,0.004974797963630684,0.0012446503258361106,4.560804098029609e-20,4.560804098029609e-20,6.197602141401566e-06,0.00012314902930182924,0.00042598170525433743,0.0007504877547221127,0.0009507872607584684,0.0009245604342030733,0.0006299179659424864,8.022015444399209e-05,-0.0006959860085808835,-0.0016833301578749844,-0.0028882264052403845,-0.0043358056991278805,-0.006061782255627384,-0.00810362964224846,-0.010493693163044916,-0.013255213448727377,-0.016401026625421852,-0.01993414136414332,-0.023849335091304626
0.34,0.03848137113982837,0.037019801296368685,0.03555765322096914,0.034094513629097156,0.03262976397930854,0.03116246765893993,0.029691183993963286,0.028213652153209264,0.026726234823664333,0.025222898925159373,0.023693260114196972,0.022118631564796185,0.020463587123311398,0.018657066773703046,0.016550209120263518,0.013844623036728065,0.010165440226788615,0.005794300846154679,0.0017431586097458218,1.373521957805731e-13,1.373521957805731e-13,7.251350596399646e-05,0.0004244662366210203,0.0008332822468897204,0.0011792826675629876,0.00138693198370518,0.0013884347403350437,0.0011472762490976713,0.0006731569499765977,-3.0511701655344496e-06,-0.0008557737839099359,-0.0018763012337573758,-0.00307405789484741,-0.004472845130064594,-0.0061049669433855475,-0.008005098064273259,-0.010205169436927626,-0.01273092087773613,-0.015600189394633921,-0.018822620910828747
0.36,0.03983057310528361,0.038374760758954435,0.03691871653781439,0.035462023566267896,0.03400403941790537,0.032543768748715965,0.031079652437954495,0.029609208121493764,0.028128396337737133,0.02663045858405845,0.025103690757908727,0.023526960394616606,0.021860207797218402,0.020023508845999252,0.01785206193661136,0.015028855156778527,0.0112006619134387,0.0066938775280089725,0.002372782576896791,5.1256081278909714e-08,5.1256081278909714e-08,8.458524844288751e-05,0.0005553366511152759,0.001192957894374634,0.0017688315013946073,0.0021645501108398645,0.002319294330189017,0.0022063444762530065,0.0018381515940056412,0.0012509437432552493,0.0004827674987016935,-0.0004395783614199846,-0.0015052537906505813,-0.00271925490265745,-0.004099580588410615,-0.005672951839670114,-0.00747011018311254,-0.009521548975563522,-0.01185423651730612,-0.01448954353637213
0.38,0.041199585609047296,0.03975020096781398,0.03830095715122082,0.03685143028667747,0.03540094780631904,0.03394844495353865,0.03249222663163101,0.03102956083006307,0.029555961508161498,0.028063875406071952,0.026540172585674586,0.024961120534595663,0.023281835763942337,0.02141346279587593,0.019176184168296393,0.016239518396901954,0.01228198588864816,0.00767113811743205,0.003132925245091335,1.044869925179784e-05,1.044869925179784e-05,0.00022190079502998588,0.0006988139137787683,0.0013578019486643936,0.0019776943150550236,0.0024386532843489227,0.002682290912817792,0.002679323696748978,0.0024329218233907247,0.0019706902862627763,0.0013271263556932466,0.0005316140379051128,-0.00039677971944327393,-0.0014508424410609889,-0.0026348841160562615,-0.003963138281699666,-0.00545722125419618,-0.00714306933494971,-0.009047848054687536,-0.011197265470506916
