m_value,dT_step,Vl,I_0,delta_V,S(V),delta_V_shifted,S_V_shifted
1,0.02,1.06,0.044287874,-0.0007461002373747583,0.037305011868737914,0.9925389976262524,1.0074610023737476
1,0.02,1.08,0.046273823,-0.00031446858926198473,0.015723429463099237,0.9968553141073802,1.0031446858926198
1,0.02,1.1,0.047650175,-0.0008159774560676514,0.04079887280338257,0.9918402254393235,1.0081597745606765
1,0.02,1.12,0.05007195,-0.000405614143252242,0.0202807071626121,0.9959438585674776,1.0040561414325224
1,0.02,1.14,0.05153438,-0.00038409336923028725,0.019204668461514363,0.9961590663076971,1.0038409336923029
1,0.02,1.16,0.053501664,-0.0007132760812573746,0.03566380406286873,0.9928672391874263,1.0071327608125737
1,0.02,1.18,0.055510419,-0.0003155670817591716,0.01577835408795858,0.9968443291824083,1.0031556708175917
1,0.02,1.2,0.056937206,-0.0007046762060320955,0.03523381030160477,0.992953237939679,1.007046762060321
1,0.02,1.22,0.059266685,-0.00040856861690530266,0.020428430845265133,0.995914313830947,1.004085686169053
1,0.02,1.24,0.060807712,-0.0003596003563783867,0.017980017818919336,0.9964039964362161,1.0035960035637839
1,0.02,1.26,0.062717962,-0.0006717595334708726,0.03358797667354363,0.9932824046652913,1.0067175953347087
1,0.02,1.28,0.064731829,-0.00031451497204404433,0.015725748602202216,0.9968548502795596,1.0031451497204404
1,0.02,1.3,0.066208012,-0.0006179365364651357,0.030896826823256784,0.9938206346353486,1.0061793653646514
1,0.02,1.32,0.06845853,-0.00040540324329696453,0.020270162164848227,0.9959459675670304,1.0040540324329696
1,0.02,1.34,0.07006086,-0.00034079536176823133,0.017039768088411567,0.9965920463823177,1.0034079536176823
1,0.02,1.36,0.071933023,-0.000627198588913469,0.03135992944567345,0.9937280141108653,1.0062719858891347
1,0.02,1.38,0.073941752,-0.0003116909092928388,0.015584545464641941,0.9968830909070716,1.0031169090929284
1,0.02,1.4,0.075463822,-0.0005493526516109348,0.02746763258054674,0.9945064734838907,1.0054935265161093
1,0.02,1.42,0.077647246,-0.00039788151710173914,0.019894075855086957,0.9960211848289826,1.0039788151710174
1,0.02,1.44,0.079297515,-0.0003254109114774195,0.016270545573870976,0.9967458908852258,1.0032541091147742
1,0.02,1.46,0.081144297,-0.0005826777617348178,0.02913388808674089,0.9941732223826518,1.0058267776173482
1,0.02,1.48,0.083142151,-0.00030734291972733807,0.015367145986366904,0.9969265708027266,1.0030734291972734
1,0.02,1.5,0.084705666,-0.0004941266874720629,0.024706334373603145,0.9950587331252794,1.0049412668747206
1,0.02,1.52,0.086832283,-0.0003872428370128578,0.01936214185064289,0.9961275716298714,1.0038724283701286
1,0.02,1.54,0.088520116,-0.00031208002333937834,0.015604001166968917,0.9968791997666062,1.0031208002333938
1,0.02,1.56,0.090350178,-0.0005398580155620003,0.026992900778100015,0.99460141984438,1.00539858015562
1,0.02,1.58,0.092334205,-0.00030168043304112935,0.015084021652056467,0.9969831956695887,1.0030168043304113
1,0.02,1.6,0.093934521,-0.00044881792732409664,0.022440896366204832,0.995511820726759,1.004488179273241
1,0.02,1.62,0.096013127,-0.0003744569475878645,0.018722847379393226,0.9962554305241214,1.0037445694758786
