Vl (V),Grad_-19_I,Grad_-18_I,Grad_-17_I,Grad_-16_I,Grad_-15_I,Grad_-14_I,Grad_-13_I,Grad_-12_I,Grad_-11_I,Grad_-10_I,Grad_-9_I,Grad_-8_I,Grad_-7_I,Grad_-6_I,Grad_-5_I,Grad_-4_I,Grad_-3_I,Grad_-2_I,Grad_-1_I,Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
0.62,0.055670519,0.054284332,0.052896873,0.0515058,0.050107585,0.048696891,0.047265578,0.045801076,0.044283662,0.042681829,0.040944354,0.038987176,0.036674893,0.033810688,0.030197937,0.025862116,0.021172904,0.016461914,0.011868386,1.00E-02,0.008226303,0.008509333,0.009005698,0.009618063,0.010245085,0.010803998,0.011239957,0.011522333,0.011637754,0.011585209,0.011372586,0.011013374,0.010523618,0.009919622,0.009216583,0.00842797,0.007565378,0.006638615,0.005655886
0.64,0.05720289,0.055824832,0.054445332,0.053061842,0.051670534,0.050265643,0.048838411,0.047375369,0.045855489,0.044245372,0.042491121,0.04050522,0.038149107,0.035227772,0.031561597,0.027206458,0.022538111,0.017874894,0.013372288,1.13E-02,0.009229924,0.009445587,0.009888002,0.010468861,0.011084263,0.011648705,0.012105195,0.012421251,0.01258121,0.012580939,0.012424712,0.012122638,0.011688141,0.01113582,0.010479984,0.009733817,0.008909028,0.00801578,0.007062767
0.66,0.058747377,0.057377389,0.056005731,0.05462963,0.053244948,0.051845469,0.050421797,0.048959549,0.047436381,0.045817016,0.044044964,0.042029498,0.039629517,0.036653059,0.03293859,0.028570484,0.023927864,0.019317061,0.014908839,1.31E-02,0.011373511,0.011503604,0.011822296,0.012284786,0.01280364,0.013294014,0.013693421,0.013963857,0.014086578,0.014056502,0.013877822,0.013560475,0.013117299,0.012561977,0.011907745,0.011166729,0.010349694,0.009466016,0.00852378
0.68,0.060303425,0.058941411,0.057577435,0.05620849,0.054830106,0.053435607,0.052014939,0.05055279,0.049025496,0.047395929,0.045605097,0.043559322,0.041115593,0.038086154,0.034328337,0.0299529,0.025339938,0.020784762,0.016471803,1.48E-02,0.013093949,0.013171289,0.013408152,0.013795688,0.01426019,0.014718596,0.015105648,0.015379045,0.015515404,0.015505232,0.015348997,0.015053927,0.01463123,0.014093843,0.013454866,0.012726636,0.011920272,0.011045549,0.010110924
0.7,0.061870495,0.060516322,0.059159831,0.057797769,0.056425322,0.055035335,0.053617084,0.052154317,0.050622055,0.048981349,0.047170811,0.045094087,0.042606881,0.039526715,0.03573028,0.031352494,0.026772338,0.022274928,0.0180567,1.62E-02,0.014434335,0.014485539,0.014672544,0.015006573,0.015426467,0.015853401,0.016222125,0.016489093,0.016629625,0.016632898,0.016497762,0.016229525,0.015837403,0.015332526,0.014726536,0.01403069,0.01325539,0.012409971,0.011502671
0.72,0.063448062,0.062101564,0.060752329,0.059396843,0.058029937,0.056643964,0.05522752,0.053763407,0.052225337,0.050572581,0.048741472,0.046633265,0.044102995,0.040974436,0.037143887,0.03276814,0.028223291,0.023784998,0.019660513,1.82E-02,0.016717015,0.016744143,0.016866152,0.01711405,0.017450198,0.0178066,0.018119145,0.0183413,0.01844491,0.018416652,0.01825401,0.0179617,0.017548723,0.0170261,0.016405332,0.015697471,0.014912656,0.014059928,0.013147224
0.74,0.065035616,0.063696598,0.062354356,0.061005111,0.059643323,0.058260844,0.056845581,0.055379386,0.053834678,0.052168995,0.050316515,0.048176396,0.045603607,0.04242905,0.038568652,0.0341988,0.029691231,0.025312845,0.02128055,1.97E-02,0.018085043,0.018101474,0.018191918,0.018397928,0.018696003,0.019025909,0.019326186,0.019550086,0.019667652,0.01966284,0.01953002,0.019270925,0.018892082,0.018402729,0.017813243,0.017134094,0.016375211,0.015545675,0.014653595
0.76,0.066632663,0.0653009,0.063965366,0.062621999,0.061264884,0.05988536,0.058470639,0.057001628,0.055449468,0.053770018,0.051895438,0.04972308,0.047108439,0.043890319,0.040004096,0.035643521,0.031174777,0.026856692,0.022914875,2.15E-02,0.020005072,0.020014354,0.020076054,0.020233026,0.02047491,0.020751475,0.021005052,0.02118912,0.021273068,0.021240489,0.021085715,0.020810426,0.020420846,0.019925626,0.019334381,0.018656755,0.017901896,0.017078196,0.016193195
0.78,0.068238723,0.066913969,0.06558483,0.064246958,0.062894051,0.06151693,0.060102108,0.058629551,0.057069146,0.055375135,0.053477793,0.051272974,0.04861726,0.04535803,0.041449764,0.037101432,0.032672718,0.028415046,0.024561991,2.32E-02,0.0218993,0.021904262,0.021944731,0.022061843,0.022256872,0.02249057,0.022710738,0.022871912,0.022942142,0.022902731,0.022745646,0.022470598,0.022082413,0.021588894,0.020999225,0.020322898,0.019569058,0.018746164,0.01786184
0.8,0.069853334,0.068535319,0.067212244,0.065879465,0.064530287,0.063155008,0.06173944,0.060262619,0.058693202,0.05698388,0.05506319,0.052825783,0.050129875,0.046831991,0.042905231,0.038571737,0.034183983,0.029986642,0.026220437,2.48E-02,0.023330057,0.023332967,0.023361709,0.023454732,0.023619952,0.023825832,0.024024883,0.024173564,0.024240153,0.024205257,0.024059603,0.023801361,0.02343374,0.022963042,0.022397192,0.021744716,0.021014078,0.020213289,0.01934972
0.82,0.071476048,0.070164484,0.068847124,0.067519022,0.066173084,0.06479908,0.063382125,0.061900334,0.060321169,0.058595837,0.056651282,0.054381257,0.051646121,0.04831203,0.044370093,0.040053712,0.035707632,0.031570392,0.027889169,2.67E-02,0.025485519,0.02548702,0.025505014,0.025570744,0.02569605,0.025857586,0.026013411,0.026122081,0.026152082,0.026083717,0.025907525,0.025621695,0.025229545,0.024737442,0.024153274,0.023485414,0.022742085,0.021931012,0.021059256
0.84,0.073106436,0.071801019,0.07048901,0.069165155,0.06782196,0.066448663,0.065029688,0.063542242,0.061952623,0.06021063,0.058241768,0.055939183,0.053165866,0.049797988,0.045843972,0.041546697,0.037242829,0.033165352,0.029567229,2.83E-02,0.027037339,0.027038168,0.027050245,0.027099989,0.027201973,0.027339609,0.027476595,0.027574448,0.027602304,0.027539565,0.027375036,0.027104912,0.026730668,0.026257193,0.025691329,0.025040791,0.024313453,0.023516904,0.022658206
