Delta_T,Vth_Up,Vth_Down,Vth_err_up,Vth_err_down
0.0,1.369265667153623,1.3560422558101197,0.0005075629598568295,0.0012934912584342576
0.0002999999999999999,1.3599637613683329,1.354385434837237,0.00033381981047065913,0.0007818084696680735
0.0009000000000000002,1.3901532806951131,1.3142010878148869,0.0012604679265165101,0.0003886596297714595
0.0015,1.320372781798298,1.3318306604113903,0.0002326549889048383,0.0010048008026283177
0.0021,1.3514801368347964,1.317670619813083,0.0011536096841235947,0.0013536525996437657
0.0027,1.3467121083493685,1.2764877512495163,0.0004906150075391746,0.0002685534889250311
0.0033,1.352919461435555,1.2685880161751042,0.0007293814969403179,0.00044536803797544654
0.0039000000000000007,1.3176514138466304,1.276571993182115,0.0003760579929972437,0.0009302456091802173
0.0045000000000000005,1.3214886278512612,1.2439237283716593,0.000918393230592481,0.000464090604137087
0.0051,1.2839672091135963,1.2610188431714306,0.00041051871695056604,0.0010139089081958967
0.0057,1.2831594783307412,1.2438820730619873,0.0010669212452627567,0.0005834362929635314
0.006,1.2747637035677024,1.2203859562487573,0.0006857061974144855,0.0007029790793263527
0.007200000000000001,1.267291659979035,1.2181781452497695,0.0009500522993301767,0.0007013750104344758
0.008399999999999998,1.2499498239256897,1.1874661390253745,0.0005261335017934317,0.00040591677422650017
0.009600000000000001,1.231184104331975,1.1853527061796167,0.000348338351035804,0.00046354163306991196
0.0108,1.1919521610067205,1.1425647426116803,0.0003363705873607274,0.0007259644622588361
0.012,1.189609476859131,1.113570203040831,0.00041940890746652306,0.00039972948716153386
0.0144,1.1483919174870363,1.0750203580446644,0.000394476482784741,0.00031434846306879576
0.0168,1.0751766225014334,1.0640260077885109,0.0013374265592226615,0.0004306581960493827
0.019200000000000002,1.0303455555395664,0.9792689803834007,0.0004399506908377019,0.0009583525483861877
0.0216,1.0152086904298305,0.8686907142981575,0.001460541479753071,0.000399900584923768
0.024,0.9630158447478196,0.9257977743646504,0.0017729846659264822,0.0021096293323234947
0.028800000000000003,0.8984038102131866,0.8334885630604653,0.0019760368717353003,0.0024944992207506862
0.0336,0.8680750742150024,0.7824302140146454,0.0015823899414573518,0.0018577968005966893
0.038400000000000004,0.8273574392940701,0.8027205805713222,0.0006199049615956501,0.0029225240522717634
0.0432,0.8475649243629655,0.7992986050699598,0.0010334492376868898,0.002921836160512618
0.048,0.7786260820713626,0.7725514091196808,0.0023246342524783025,0.0016903081233572406
0.05279999999999999,0.7628026352483572,0.7020074420643121,0.0014274579916810637,0.006052305871502646
0.057600000000000005,0.7600121465362377,0.7520453989304998,0.0013351818718420727,0.0016783928197782905
0.06,0.8107708618618796,0.7346343901309847,0.0029877875739584723,0.0030564599667216104
0.069,0.8038349639061524,0.7371249024029957,0.0031984286236906136,0.003256059676096749
0.07800000000000001,0.8335253008313472,0.8022304399066024,0.0018521308590073856,0.0035348206350246897
0.087,0.7888689638598413,0.7467444661231102,0.002755845696952282,0.002226024180728986
0.096,0.8180662198929469,0.7633505963354037,0.0032328028009016444,0.0020180435466706464
0.10500000000000001,0.7560346344325417,0.7710383760105162,0.0016866624234136004,0.0010000100375372578
0.11399999999999999,0.8477305147231545,0.6778538968065569,0.0006688387352325613,0.0015078340664448871
