Vl (V),Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
0.8,0.02377875358795628,0.02377875356468355,0.02377875354237027,0.023778753520849728,0.02377875349996501,0.023778753479570217,0.02377875345953144,0.023778753439727286,0.023778753420049335,0.023778753400402055,0.023778753380701973,0.02377875336087682,0.02377875334086394,0.02377875332060788,0.023778753300058433,0.023778753279167373,0.02377875325788592,0.023778753236161146,0.0237787532139329,0.02377875319112988
0.84,0.02729458238682903,0.02729458238400661,0.027294582381468823,0.027294582379193924,0.027294582377159586,0.027294582375343,0.027294582373721028,0.02729458237227056,0.027294582370968865,0.02729458236979373,0.027294582368724035,0.02729458236774011,0.027294582366823854,0.027294582365959354,0.02729458236513319,0.02729458236433415,0.027294582363554015,0.027294582362786913,0.027294582362029456,0.0272945823612804
0.88,0.03082808487224389,0.03082808487170411,0.030828084871207764,0.030828084870754148,0.03082808487034245,0.03082808486997178,0.03082808486964095,0.030828084869348592,0.03082808486909312,0.030828084868872646,0.030828084868685202,0.03082808486852834,0.03082808486839949,0.03082808486829589,0.030828084868214534,0.030828084868152403,0.03082808486810633,0.030828084868073296,0.03082808486805041,0.03082808486803508
0.92,0.03437860429469745,0.03437860429461259,0.03437860429453116,0.03437860429445324,0.0343786042943788,0.034378604294307995,0.03437860429424094,0.034378604294177675,0.03437860429411833,0.03437860429406304,0.03437860429401191,0.03437860429396495,0.03437860429392235,0.03437860429388411,0.03437860429385029,0.0343786042938209,0.034378604293795835,0.03437860429377502,0.034378604293758254,0.0343786042937453
0.96,0.037945485571420474,0.03794548557141142,0.037945485571402565,0.03794548557139391,0.037945485571385384,0.03794548557137705,0.03794548557136879,0.03794548557136068,0.0379454855713527,0.03794548557134484,0.03794548557133711,0.037945485571329526,0.03794548557132211,0.037945485571314906,0.037945485571307884,0.0379454855713011,0.03794548557129456,0.0379454855712883,0.03794548557128236,0.037945485571276784
1.0,0.041527532452102896,0.041527532452102126,0.041527532452101425,0.04152753245210071,0.04152753245210005,0.041527532452099405,0.041527532452098774,0.04152753245209817,0.04152753245209755,0.04152753245209697,0.04152753245209638,0.041527532452095756,0.041527532452095145,0.041527532452094555,0.041527532452093924,0.04152753245209331,0.04152753245209266,0.041527532452092016,0.04152753245209135,0.041527532452090704
1.04,0.04512278991396503,0.045122789913964956,0.04512278991396486,0.045122789913964796,0.045122789913964734,0.045122789913964685,0.04512278991396462,0.04512278991396454,0.04512278991396451,0.04512278991396445,0.04512278991396445,0.04512278991396444,0.0451227899139644,0.04512278991396436,0.045122789913964324,0.045122789913964345,0.04512278991396429,0.04512278991396426,0.04512278991396424,0.04512278991396421
1.08,0.04872862205354449,0.04872862205354449,0.04872862205354446,0.04872862205354441,0.048728622053544446,0.048728622053544404,0.04872862205354442,0.04872862205354442,0.048728622053544376,0.0487286220535444,0.048728622053544376,0.04872862205354438,0.04872862205354437,0.04872862205354437,0.048728622053544356,0.048728622053544376,0.048728622053544356,0.048728622053544356,0.04872862205354435,0.04872862205354438
1.12,0.05234200891544258,0.052342008915442564,0.05234200891544259,0.052342008915442564,0.05234200891544258,0.05234200891544257,0.05234200891544253,0.05234200891544257,0.05234200891544255,0.05234200891544255,0.05234200891544256,0.052342008915442564,0.05234200891544255,0.05234200891544256,0.05234200891544255,0.05234200891544254,0.052342008915442544,0.05234200891544254,0.05234200891544256,0.052342008915442544
1.16,0.05595994730990393,0.05595994730990393,0.05595994730990395,0.05595994730990395,0.05595994730990393,0.05595994730990393,0.05595994730990396,0.05595994730990393,0.05595994730990397,0.055959947309903925,0.05595994730990397,0.05595994730990396,0.05595994730990393,0.05595994730990395,0.05595994730990395,0.05595994730990395,0.05595994730990391,0.05595994730990394,0.05595994730990396,0.05595994730990395
1.2,0.059579836408818684,0.05957983640881868,0.05957983640881868,0.05957983640881869,0.05957983640881867,0.059579836408818684,0.059579836408818664,0.059579836408818664,0.05957983640881867,0.05957983640881871,0.05957983640881867,0.059579836408818684,0.05957983640881867,0.05957983640881867,0.05957983640881867,0.05957983640881867,0.0595798364088187,0.0595798364088187,0.05957983640881866,0.059579836408818684
1.24,0.06319975916868935,0.06319975916868936,0.06319975916868936,0.06319975916868936,0.06319975916868938,0.06319975916868938,0.06319975916868935,0.06319975916868936,0.06319975916868936,0.06319975916868938,0.06319975916868935,0.06319975916868936,0.06319975916868936,0.06319975916868935,0.06319975916868936,0.06319975916868933,0.06319975916868932,0.06319975916868935,0.06319975916868938,0.06319975916868935
