Vl (V),Grad_-19_I,Grad_-18_I,Grad_-17_I,Grad_-16_I,Grad_-15_I,Grad_-14_I,Grad_-13_I,Grad_-12_I,Grad_-11_I,Grad_-10_I,Grad_-9_I,Grad_-8_I,Grad_-7_I,Grad_-6_I,Grad_-5_I,Grad_-4_I,Grad_-3_I,Grad_-2_I,Grad_-1_I,Grad_0_I,Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
0.2,0.027349070080567865,0.025875896315902973,0.024401595122921466,0.022925903336311178,0.021448482036564298,0.01996888177789466,0.01848648643093654,0.017000420349753423,0.0155093907021406,0.014011410591263339,0.012503292056370548,0.010979669005996485,0.009431002263623093,0.00783928563165506,0.006168791314037824,0.004351821796348739,0.00233839288879561,0.0005814041302498777,9.707406329927449e-06,3.7998529217896034e-63,3.7998529217896034e-63,-2.994226436253355e-15,-2.2251071802414618e-08,-5.738288915458264e-06,-8.716080978747747e-05,-0.00040716196567354423,-0.0010890666549765264,-0.0021896548482497266,-0.003750211948225922,-0.00580999824180487,-0.008396123947818922,-0.011516500874063555,-0.015160726579605358,-0.01930494584263701,-0.023917176261711314,-0.028961595786358464,-0.03440151828906114,-0.0402012597071375,-0.04632719804814982,-0.05274829400949434
0.22,0.028491211397540333,0.02701371684830893,0.025534642277852508,0.024053627093443244,0.022570196969281482,0.021083711767601536,0.01959328290774938,0.018097638551207662,0.016594896247746863,0.015082163972428238,0.01355480602162484,0.012005016002041362,0.01041887326195311,0.008769947594358765,0.007005464711640155,0.005025513921174675,0.002755195790379941,0.0007338771319403479,1.6953296473552748e-05,6.510113404899936e-62,6.510113404899936e-62,-5.064217401629786e-16,-9.165035828635128e-09,-3.2704764976958897e-06,-6.0201299405183516e-05,-0.0003169688649080661,-0.0009078412837964319,-0.0018950711562528493,-0.003314068129015053,-0.005199504971522681,-0.007580517409180855,-0.01047178427044204,-0.013871149632513222,-0.0177623874157318,-0.02211968394707112,-0.026911811698548598,-0.032105301875740164,-0.03766659321516397,-0.04356336243398751,-0.04976527005903664
0.24,0.029656160117727648,0.028175798032905444,0.02669350669233543,0.025208835424624116,0.023721183779878825,0.02222973269359779,0.020733335549950244,0.019230340374845972,0.017718288896841097,0.01619338506556886,0.014649508979905386,0.013076282912790869,0.01145504989323368,0.00975009872348601,0.007889836804862882,0.005740548691495589,0.003210090729085949,0.0009199996949289946,2.809413398177755e-05,2.1948561447995177e-54,2.1948561447995177e-54,-8.01232732767467e-17,-3.757786863532682e-09,-1.8440507424023842e-06,-4.08574295744038e-05,-0.00024287635949695805,-0.0007489265553722634,-0.0016310850080585911,-0.0029220983209785694,-0.004651019687701398,-0.006846174252709592,-0.009526601099130743,-0.012697051686793217,-0.016348453493895104,-0.02046119292478974,-0.025008908296771465,-0.029961703152350073,-0.03528849801339256,-0.0409585956951504,-0.046942639874996125
0.26,0.030844254092896397,0.029362314361966638,0.02787818812209207,0.026391343224137068,0.024901063481630493,0.023406363099165738,0.021905850774226777,0.020397506716190596,0.018878302701664518,0.01734352589103116,0.015785514332709055,0.014191158940201239,0.012536682733961815,0.010776255946629213,0.008818020473438399,0.006494541731114405,0.0037062502199212075,0.001145453325876591,4.4505023677208084e-05,7.6079466677321295e-47,7.6079466677321295e-47,1.1215304208914139e-11,-1.5037802162189325e-09,-1.031862151806346e-06,-2.734177214663079e-05,-0.0001833805249037748,-0.0006111669226722728,-0.0013948655350901624,-0.0025685194714954373,-0.004155995807876305,-0.006182733577903352,-0.008669763687968771,-0.011627148575930526,-0.015052217545925072,-0.018931382227671562,-0.02324328448833353,-0.027961874736787455,-0.033058868256634184,-0.03850549655749328,-0.0442736577268953
0.28,0.03205542869121309,0.030573073954487946,0.029088359079051072,0.027600678925210505,0.02610921119616594,0.024612813654627246,0.02310985992747872,0.021597968300997146,0.020073536333075445,0.01853090676104667,0.016960797599737794,0.015347184998412082,0.013660775265625211,0.011844846999028828,0.009786277771245168,0.007285771858569117,0.004246995479242682,0.001416265797355326,6.9311428946007e-05,9.160475417094085e-41,9.160475417094085e-41,1.2963667079500936e-09,5.519177887534279e-07,3.483794805413799e-07,-1.7080215761630485e-05,-0.00013553143756889652,-0.0004920757861561669,-0.0011828336237000917,-0.0022470408124516932,-0.003705053118997051,-0.005578313965049224,-0.007887768365078077,-0.01064707752198597,-0.013858993931539004,-0.017515579093394417,-0.021600473709787904,-0.02609165757894503,-0.030963897093910606,-0.036190621293621585,-0.041745234458132566
0.3,0.0332893836779194,0.031807673997395064,0.03032350638431912,0.028836210003114128,0.027344864028072235,0.02584817676339446,0.02434429129921749,0.022830462419480606,0.021302498673245067,0.01975375665317461,0.018173239069268307,0.016541807538808323,0.014824259125466883,0.012952316314229688,0.010791138734880102,0.008113117475637014,0.004835477503036797,0.0017388260963278768,0.00010909267700307847,5.899995637409277e-40,5.899995637409277e-40,1.5504745012826996e-09,2.173488338968558e-06,2.1776504559112904e-05,4.7036552648768194e-05,-3.15423958668694e-06,-0.00025453596831895807,-0.000805523801207842,-0.001700186884317606,-0.0029587976816202394,-0.0046022776376526825,-0.006654480341068145,-0.009135307047400336,-0.01205513481698335,-0.015413295337924739,-0.01919944820683945,-0.02339611702419242,-0.027981265449771493,-0.03293042657703284,-0.03821827727744314
0.32,0.034545682461717075,0.033065590864876385,0.03158301108052058,0.030097211980398213,0.02860717901988654,0.027111474059527872,0.025608008639618134,0.024093664909392857,0.02256363766223618,0.021010243180817584,0.019420659921978826,0.017772426593994466,0.016024060124730975,0.014095210714325195,0.011829472837189497,0.008975928577973762,0.005474453089165752,0.0021196884053002805,0.0001746383871973875,3.719300639842859e-39,3.719300639842859e-39,5.5581729804188595e-08,2.559396288978215e-06,2.6415110474664844e-05,7.437728784244836e-05,8.720697911694742e-05,-4.477745788940533e-05,-0.000413683620933921,-0.001055374620489617,-0.0019764737698243725,-0.003188071665716623,-0.004716173575551253,-0.0065954678291181975,-0.008858834933401413,-0.011529763053956598,-0.014619393729488932,-0.0181270786230458,-0.022042707917820772,-0.026349491465081087,-0.03102647948062091
0.34,0.035823809418349964,0.034346231015279935,0.03286619262537194,0.031382905970715476,0.029895264515881925,0.02840168254647694,0.026899833550595102,0.02538621079475541,0.023855361658265097,0.022298497583447978,0.02070085417430725,0.019036438301204973,0.01725715422502539,0.015270244583022306,0.012898519641222574,0.009873872217279676,0.006166137933121397,0.0025651603375410332,0.0002793191924039909,6.117442860999629e-35,6.117442860999629e-35,9.878200578229379e-08,2.163852939108806e-05,9.274008591482164e-05,0.00015654336634522315,0.00018648615162919502,0.00010140030694776291,-0.00018720058960271962,-0.0007172546793664288,-0.0014864804056700983,-0.002487334312876993,-0.003726970712867133,-0.005229164248487102,-0.007027079475194331,-0.00915440395831118,-0.011638713654876311,-0.014498089857781154,-0.01774046371965141,-0.021364670552989597,-0.025362287931862525
0.36,0.03712320236587324,0.035648959379341115,0.03417233330796146,0.03269247947587031,0.031208197962738687,0.029717750311594824,0.028218560310434914,0.02670670968636307,0.025176057129899898,0.02361663666576491,0.022011617023592705,0.020331271716001596,0.018520613181443612,0.01647434566948512,0.013995887343645114,0.010806779854116676,0.006912117274140995,0.0030808494264437567,0.0004348592076732797,2.667820661229411e-27,2.667820661229411e-27,1.1511276839704194e-07,2.5412454130802828e-05,0.0001576674171776954,0.0003594357971581865,0.000528965904513881,0.0005735568291748683,0.00041720234376802444,2.5137683851271888e-05,-0.0005975446233837423,-0.0014315983924444123,-0.0024653241709478493,-0.003703415469614313,-0.005165969230942234,-0.0068825186225931895,-0.00888499450085328,-0.011201984869136839,-0.013855202851526534,-0.016858070410925328,-0.02021585464426731
0.38,0.038443270893664755,0.03697311534176292,0.03550069213978189,0.034025098595823366,0.03254503700894516,0.031058607246173375,0.029562967099870316,0.028053758545382848,0.02652410412950538,0.02496278227942352,0.023350769658678817,0.021654419797810187,0.019811640101253695,0.017704683657488958,0.015119528433955816,0.011774514949020997,0.007713299779996202,0.0036713510925175307,0.0006494729826538685,9.270051254141673e-20,9.270051254141673e-20,3.417758000654715e-06,3.702359526578748e-05,0.00017688791737089073,0.0004019494812985155,0.0006182036452494542,0.0007384311110463033,0.0006873277549432878,0.0004239725714870523,-5.225203093805987e-05,-0.0007214001644123963,-0.0015637540095723536,-0.002570888262825248,-0.003748658267446966,-0.005115411604984788,-0.006697769550637398,-0.008525672351627952,-0.010627913621841359,-0.013028870271801923,-0.01574663127114522
