Vl (V),Grad_-19_I,Grad_-18_I,Grad_-17_I,Grad_-16_I,Grad_-15_I,Grad_-14_I,Grad_-13_I,Grad_-12_I,Grad_-11_I,Grad_-10_I,Grad_-9_I,Grad_-8_I,Grad_-7_I,Grad_-6_I,Grad_-5_I,Grad_-4_I,Grad_-3_I,Grad_-2_I,Grad_-1_I,Grad_0_I,Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
0.2,0.029630933709138975,0.028155518488967413,0.026678696409425207,0.025200142569583667,0.023719447184219873,0.02223608091192377,0.020749339169785577,0.019258249931267526,0.017761416190908423,0.016256737107913023,0.014740892707866455,0.013208338493057286,0.011649205011127156,0.010044535394198915,0.008354534665516186,0.00648866949871461,0.004257337750220655,0.0016693438684550208,0.00010360170376669547,NaN,NaN,7.178855928485281e-13,-1.0427794950559994e-07,-1.5779557893544946e-05,-0.00017873323511449318,-0.0007024112975489502,-0.0016992986735519756,-0.0032172747043582193,-0.005295667810286408,-0.007961907913573612,-0.01122084153967341,-0.01505498068205778,-0.019431044701572465,-0.02430713148340488,-0.029638213886448956,-0.035379688431117204,-0.041489392651014576,-0.047928589303480096,-0.05466231241794809,-0.061659346062119556
0.22,0.030830741231607544,0.029353585860484883,0.02787488705922064,0.02639429411909032,0.024911352699009588,0.02342545885084889,0.02193578560297917,0.020441162261472107,0.018939869282814208,0.017429275590029124,0.015905165541277206,0.014360413761141892,0.012782183528733615,0.0111455033141905,0.009397340243223078,0.007416738699422609,0.004959079781418,0.0020474518614663293,0.00017001275814180157,NaN,NaN,2.9513715630975622e-08,8.621621092723507e-08,-8.984668102245553e-06,-0.00012532950789872363,-0.0005526791235735724,-0.0014222839771707329,-0.002782599924029291,-0.00466657610244946,-0.007102681247025513,-0.010103910549316251,-0.013663293771907427,-0.01775718495542539,-0.022351207392290472,-0.027405669327613638,-0.03287947108042342,-0.0387325666203672,-0.044927341981449424,-0.051429270581917534,-0.0582071203121153
0.24,0.0320514549016792,0.03057407961043211,0.02909513648619528,0.02761425297052378,0.02613093480076857,0.02464450949046618,0.02315403608210257,0.021658156618716055,0.020154842850197696,0.018640945543786116,0.017111350688256775,0.01555730105707455,0.013962813385989668,0.012296411291071271,0.010490675523989867,0.008392566343892524,0.005707685851222105,0.002487576590578572,0.0002702335726865125,NaN,NaN,5.264409113779797e-08,1.179547273051072e-05,4.116465747127499e-05,-1.5636273952228447e-05,-0.00033755252134236996,-0.0010643039553986395,-0.0022507988251569983,-0.0039264913326384964,-0.00611980400947762,-0.00885032695761725,-0.012120902883635765,-0.015917517010370454,-0.020213625816943248,-0.02497524379881234,-0.030165101916162236,-0.03574552304306043,-0.04168019659577765,-0.047935155618537305,-0.05447922608497452
0.26,0.03329394403248634,0.03181766286612995,0.030339879873502167,0.02886020575758431,0.02737811258353216,0.025892867094154826,0.024403423759953365,0.02290824774884539,0.02140501083262477,0.0198900457124428,0.01835731522385562,0.016796344836163084,0.015187781776114049,0.013493130268058266,0.011629585833716646,0.009411451198809186,0.006503334965673568,0.0029958270936320326,0.0004111746115987609,NaN,NaN,7.424929978174304e-08,1.4492689907364826e-05,7.974877182316324e-05,0.0001306163345498346,2.164333349259954e-06,-0.00043973496578809983,-0.001242455075192765,-0.002429233926050768,-0.00403790140314582,-0.006113777969078958,-0.008691907074569969,-0.011787528752200214,-0.015395997398591753,-0.019497504281950007,-0.02406271223163776,-0.029057464963233942,-0.034446121052274424,-0.04019366968002094,-0.046266945908924426
0.28,0.03455843426229993,0.03308439879762232,0.031609003757280166,0.030131848506332284,0.028652377696365784,0.027169804292836882,0.025682985261987187,0.024190214229821427,0.022688862459291484,0.021174729478219363,0.01964080753933589,0.01807478947678347,0.016453700513276198,0.014731520945173092,0.012809293947336344,0.010469297037667252,0.0073465665564634046,0.003577344486931107,0.0006042816057643146,NaN,NaN,2.3739662388763142e-06,4.943753620286352e-05,0.00012182041136934772,0.00019717575488847146,0.0001434172469896796,-0.00016897391352605425,-0.000781044649469203,-0.0016897082029135688,-0.002904554135655484,-0.004459806086723387,-0.006401239787569793,-0.008770189676615723,-0.011593846593641773,-0.014882566243396357,-0.018631696018985157,-0.022825289274838016,-0.0274399990059064,-0.03244835292445818,-0.037821191704696375
0.3,0.03584477129923459,0.03437400415974454,0.03290208520820934,0.03142860714101089,0.02995299203497226,0.028474403492575916,0.02699160365902488,0.025502712933080693,0.024004790920057882,0.022493073720378395,0.020959515549779068,0.019389838439922032,0.017757178789222797,0.01600753069003274,0.014025314105485359,0.01156262799163226,0.008237909675209902,0.004236133024239596,0.0008722127751300342,NaN,NaN,2.793229753488536e-06,0.00011129720853876395,0.0003774445584653247,0.0006192055174299381,0.0006921942940877616,0.0005008576723545071,1.677623767475431e-05,-0.0007396960373882945,-0.0017483944193963398,-0.003014307940977605,-0.004566532879808329,-0.0064459166233340566,-0.008692285306738753,-0.011336040044740536,-0.01439469112045852,-0.01787298973812777,-0.021764993707464746,-0.026056792526647787,-0.030729140869398763
0.32,0.037152582296481336,0.035686000507193005,0.034218530551491634,0.03274976158685335,0.03127909557850661,0.029805647590587875,0.028328082352518415,0.02684433783136222,0.02535114050421053,0.023843119311079443,0.02231110686557715,0.020738701121475616,0.019094883311221028,0.01731726958981687,0.01527352517431816,0.012688540978471477,0.009177606203725668,0.004974797963630718,0.0012446503258361089,NaN,NaN,6.197602141401565e-06,0.0001231490293018293,0.0004259817052543385,0.0007504877547221128,0.0009507872607584571,0.0009245604342030763,0.0006299179659424896,8.022015444399729e-05,-0.000695986008580882,-0.0016833301578749933,-0.0028882264052403858,-0.004335805699127901,-0.006061782255627384,-0.00810362964224847,-0.010493693163044928,-0.013255213448727342,-0.016401026625421825,-0.01993414136414331,-0.02384933509130461
0.34,0.03848137113982986,0.037019801296369684,0.0355576532209701,0.034094513629096844,0.03262976397930853,0.03116246765893942,0.02969118399396285,0.02821365215320904,0.026726234823664333,0.025222898925158974,0.023693260114197083,0.022118631564795987,0.020463587123311283,0.01865706677370301,0.01655020912026353,0.013844623036728045,0.010165440226788622,0.005794300846154685,0.0017431586097458088,NaN,NaN,7.251350596399646e-05,0.00042446623662102065,0.0008332822468897171,0.0011792826675629852,0.001386931983705166,0.0013884347403350693,0.0011472762490976178,0.000673156949976584,-3.051170165536835e-06,-0.0008557737839099361,-0.0018763012337573485,-0.0030740578948474226,-0.004472845130064606,-0.006104966943385551,-0.008005098064273287,-0.010205169436927628,-0.012730920877736085,-0.015600189394633934,-0.018822620910828727
0.36,0.03983057310528361,0.03837476075895369,0.03691871653781439,0.03546202356626787,0.03400403941790638,0.032543768748715965,0.031079652437954366,0.029609208121493376,0.02812839633773711,0.026630458584058353,0.025103690757908085,0.023526960394616676,0.021860207797218166,0.020023508845999252,0.01785206193661141,0.015028855156778513,0.011200661913438725,0.006693877528008944,0.0023727825768967963,NaN,NaN,8.45852484428875e-05,0.0005553366511152726,0.0011929578943746316,0.0017688315013946062,0.0021645501108398667,0.002319294330189041,0.002206344476253036,0.0018381515940056705,0.0012509437432552362,0.0004827674987017013,-0.0004395783614199833,-0.0015052537906506246,-0.0027192549026574635,-0.004099580588410629,-0.0056729518396701,-0.007470110183112568,-0.009521548975563586,-0.011854236517306122,-0.014489543536372076
0.38,0.04119958560904702,0.03975020096781387,0.038300957151221615,0.03685143028667734,0.035400947806319055,0.03394844495353802,0.03249222663163185,0.031029560830063356,0.029555961508161404,0.02806387540607247,0.026540172585675065,0.02496112053459628,0.02328183576394224,0.02141346279587595,0.01917618416829646,0.016239518396901954,0.012281985888648116,0.0076711381174320295,0.003132925245091326,NaN,NaN,0.00022190079502998594,0.0006988139137787686,0.0013578019486643871,0.00197769431505502,0.0024386532843489205,0.0026822909128177566,0.002679323696749016,0.0024329218233907083,0.00197069028626277,0.001327126355693268,0.0005316140379051214,-0.0003967797194432583,-0.001450842441060969,-0.002634884116056291,-0.0039631382816996885,-0.005457221254196173,-0.007143069334949763,-0.009047848054687585,-0.011197265470506895
